Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Profitability Category
Abate As Indust,__NA__,Trading,0.0,0.0,-0.91,-0.27,-0.91,-0.91,-0.91,-1.81,,,-191.58,14.41,Unknown
Abbott India,ABBOTINDIA,Pharmaceuticals - Multinational,5848.91,5753.36,1201.22,1145.58,1630.2,1630.2,1701.37,565.3,24.84,20.54,46.03,58832.77,High Profitability
ABC Gas (Int.),__NA__,Trading,0.01,0.01,0.21,-0.84,-0.56,-0.56,-0.53,1.06,-5300.0,-5700.0,-13.53,18.13,Loss-making
ABC India,__NA__,Miscellaneous,164.59,161.92,2.28,4.04,5.19,5.19,6.41,4.21,3.55,1.34,8.1,60.83,Low Profitability
Abhinav Capital,__NA__,Finance & Investments,15.29,15.32,9.26,10.05,14.22,14.22,14.22,13.37,93.0,60.56,16.26,143.86,High Profitability
Abhinav Leasing,__NA__,Finance & Investments,33.73,24.16,0.17,0.6,2.04,2.04,2.08,0.03,5.81,0.5,9.83,13.45,Low Profitability
Abhishek Finle.,__NA__,Finance & Investments,0.95,0.79,0.17,0.13,0.27,0.27,0.3,0.4,15.79,22.11,6.19,15.78,High Profitability
Abhishek Infra.,__NA__,Construction,0.0,0.41,-0.26,0.11,-0.26,-0.26,-0.26,-0.51,,0.0,-4.86,3.55,Low Profitability
Abhishek Integr.,AILIMITED,Construction,25.45,,0.77,,1.79,1.79,1.92,1.28,6.88,3.03,14.25,41.82,Low Profitability
Abirami Fin.,__NA__,Finance & Investments,0.0,0.0,1.45,1.24,1.1,1.1,1.11,2.69,,,5.12,31.43,Unknown
ABM Knowledge,__NA__,Computers - Software - Medium / Small,78.65,71.34,14.88,12.18,19.15,19.15,20.32,7.44,17.62,18.92,8.86,296.03,High Profitability
ABS Marine,ABSMARINE,Shipping,135.16,,25.41,,32.27,32.27,45.78,,33.2,19.36,20.01,876.45,High Profitability
ACC,ACC,Cement - North India,19958.92,19341.11,2336.53,1627.35,2675.88,2675.88,3558.99,124.42,15.34,10.8,17.27,49763.66,Moderate Profitability
Accedere,__NA__,Computers - Software - Medium / Small,2.56,2.28,-0.09,-0.17,-0.07,-0.07,0.14,-0.14,-0.39,-3.52,-1.57,43.01,Loss-making
Accel,__NA__,Computers - Software - Medium / Small,167.09,166.52,3.29,1.76,12.11,12.11,18.98,0.6,10.18,2.17,8.99,129.29,Low Profitability
AccelerateBS Ind,__NA__,Computers - Software - Medium / Small,6.78,,0.03,,1.78,1.78,1.93,0.14,28.17,1.77,70.92,72.85,Low Profitability
Accelya Solution,ACCELYA,Computers - Software - Medium / Small,505.53,494.0,94.77,130.86,172.73,160.61,194.4,63.49,38.41,25.11,56.12,2601.4,High Profitability
Accent Microcell,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,245.5,,30.17,,38.68,38.68,43.11,14.34,16.08,12.63,57.75,597.62,Moderate Profitability
Accord Synergy,ACCORD,Telecommunications - Service Provider,31.88,,0.39,,0.37,0.37,0.75,1.12,1.91,1.22,2.57,9.83,Low Profitability
Accuracy Shippi.,ACCURACY,Miscellaneous,708.33,714.53,0.5,-2.98,11.69,11.69,24.67,0.03,3.39,0.07,5.29,204.0,Low Profitability
ACE EduTremd Ltd,__NA__,Miscellaneous,0.0,0.0,-0.16,-0.09,-0.1,-0.1,-0.05,-0.17,,,-1.13,2.93,Unknown
Ace Engitech,__NA__,Computers - Software - Medium / Small,0.0,0.0,-0.16,-0.14,-0.15,-0.15,-0.15,-0.48,,-47.83,-23.62,7.12,Loss-making
Ace Integrated,ACEINTEG,Computers - Software - Medium / Small,9.14,8.03,0.41,-0.08,0.39,0.39,0.54,0.4,1.09,4.49,2.06,34.87,Low Profitability
Ace Men,__NA__,Trading,0.0,4.16,0.09,-0.65,0.14,0.14,0.14,0.29,,0.4,3.66,13.78,Low Profitability
Ace Soft. Exp.,__NA__,Computers - Software - Medium / Small,23.72,7.91,5.35,3.31,5.92,5.92,6.62,7.73,2.45,22.55,21.01,152.96,High Profitability
Achyut Healthcar,__NA__,Trading,6.14,,0.57,,0.74,0.74,0.75,0.34,0.33,9.28,5.09,95.4,Moderate Profitability
ACI Infocom,__NA__,Computers - Software - Medium / Small,0.93,0.81,0.09,0.19,0.18,0.18,0.18,0.01,19.35,9.68,1.07,26.96,Moderate Profitability
Acknit Indus.,__NA__,Textiles - Products,220.66,205.19,8.55,7.74,13.84,13.84,17.13,28.13,7.65,3.87,11.04,94.84,Low Profitability
Acme Resources,__NA__,Finance & Investments,9.78,29.84,1.71,12.6,2.92,2.92,2.92,0.66,28.63,17.48,2.12,88.81,High Profitability
Acrow India,__NA__,Diversified - Medium / Small,0.0,0.0,1.02,0.62,0.61,0.61,0.91,15.94,,,2.68,48.01,Unknown
Action Const.Eq.,ACE,Engineering,2913.8,2691.8,328.2,276.9,457.11,457.11,480.35,27.56,13.84,11.26,42.25,17397.48,Moderate Profitability
Active Clothing,__NA__,Textiles - Products,212.35,218.33,4.86,3.91,13.96,13.96,21.23,3.13,9.85,2.29,9.36,151.48,Low Profitability
AD Manum Finance,__NA__,Finance & Investments,11.03,7.19,7.7,3.89,11.57,11.57,11.62,10.27,88.4,69.81,15.67,59.58,High Profitability
Adani Energy Sol,ADANIENSOL,Power Generation And Supply,16607.36,15258.17,1195.61,1253.92,4405.85,4405.85,6181.93,10.2,33.57,6.63,9.0,112246.43,Moderate Profitability
Adani Enterp.,ADANIENT,Trading,96420.98,101949.85,3335.27,3763.7,9896.12,9896.12,12938.27,28.42,11.8,3.75,9.87,362805.36,Low Profitability
Adani Green,ADANIGREEN,Power Generation And Supply,9220.0,9291.0,1260.0,1457.0,6944.0,6944.0,8847.0,6.94,79.37,15.69,9.81,282440.93,High Profitability
Adani Ports,ADANIPORTS,Miscellaneous,26710.56,25610.91,8103.99,7228.29,13191.48,13191.48,17079.94,37.55,58.36,33.19,12.93,320024.58,High Profitability
Adani Power,ADANIPOWER,Power Generation And Supply,50351.25,47229.62,20828.79,23334.03,24183.6,24183.6,28114.93,54.0,36.2,41.37,32.25,277603.16,High Profitability
Adani Total Gas,ATGL,Miscellaneous,4474.74,4422.57,667.5,597.45,1007.27,1007.27,1165.15,6.07,24.67,14.91,21.2,97910.59,Moderate Profitability
Adani Wilmar,AWL,Solvent Extraction,51261.63,51896.23,147.98,84.85,1042.86,1042.86,1406.71,1.14,2.21,0.31,9.7,43409.25,Low Profitability
Adarsh Plant,__NA__,Packaging,18.65,17.34,0.49,0.32,0.7,0.7,0.76,0.49,4.08,2.63,11.7,33.69,Low Profitability
ADC India,__NA__,Telecommunications - Equipment,178.74,169.14,20.69,12.9,27.78,27.78,27.99,44.98,14.58,11.58,45.23,966.0,Moderate Profitability
Adcon Capital,__NA__,Finance & Investments,1.68,1.63,0.9,0.24,1.05,1.05,1.05,0.05,62.5,53.57,3.33,17.25,High Profitability
Add-Shop E-Reta.,__NA__,Trading,203.06,191.57,3.16,12.6,7.09,7.09,7.59,1.12,3.74,1.56,6.15,44.99,Low Profitability
Addi Industries,__NA__,Textiles - Products,0.0,0.0,4.67,3.23,6.35,6.35,6.49,4.33,,,8.38,54.06,Unknown
Addictive Learn,LAWSIKHO,Miscellaneous,63.96,,6.53,,9.79,9.79,12.56,4.1,19.64,10.21,440.99,490.02,Moderate Profitability
Adeshwar Meditex,__NA__,Healthcare,79.85,,2.01,,4.71,4.71,5.31,1.39,6.49,2.52,9.55,38.96,Low Profitability
ADF Foods,ADFFOODS,Food - Processing - Indian,520.33,489.8,73.79,64.84,100.42,100.42,116.01,6.85,20.17,14.18,21.69,2683.41,Moderate Profitability
Adhbhut Infra.,__NA__,Construction,2.56,3.48,0.87,1.2,1.32,1.32,2.37,0.79,83.2,33.98,,31.98,High Profitability
Adinath Exim Res,__NA__,Finance & Investments,1.03,1.02,0.56,0.77,0.74,0.74,0.74,1.3,71.84,54.37,4.04,10.31,High Profitability
Adinath Textiles,__NA__,Textiles - Spinning - Synthetic / Blended,0.0,0.0,0.48,0.6,0.68,0.68,0.74,0.7,,,25.61,17.65,Unknown
Adit.Birla Money,BIRLAMONEY,Finance & Investments,390.19,342.04,52.97,43.88,161.15,161.15,169.38,9.37,42.17,13.58,12.54,933.24,Moderate Profitability
Aditya AMC,ABSLAMC,Finance & Investments,1353.19,1284.58,780.36,707.57,1013.78,1013.78,1048.38,27.09,56.24,57.67,34.88,18706.3,High Profitability
Aditya Bir. Fas.,ABFRL,Textiles - Products,13995.86,13468.94,-735.91,-664.1,47.71,47.71,1702.94,-6.18,10.38,-5.26,0.4,32210.43,Loss-making
Aditya Birla Cap,ABCAPITAL,Finance & Investments,34505.54,31590.53,3438.89,2786.56,12199.61,12199.61,12393.43,12.83,34.88,9.97,9.95,62345.79,Moderate Profitability
Aditya Consumer,__NA__,Trading,93.36,,-3.07,,-2.4,-2.4,-0.13,-2.1,-0.79,-3.29,-6.43,122.19,Loss-making
Aditya Ispat,__NA__,Steel - Medium / Small,62.01,62.5,-2.31,0.19,0.32,0.32,1.82,-4.32,1.85,-3.73,0.72,5.56,Loss-making
Aditya Spinners,__NA__,Textiles - Spinning - Synthetic / Blended,61.26,64.0,1.86,-1.02,3.48,3.48,6.07,1.11,7.2,3.04,5.24,33.82,Low Profitability
Aditya Vision,__NA__,Trading,1743.29,1673.89,77.07,76.0,145.43,145.43,174.01,60.12,9.61,4.42,21.39,5841.22,Low Profitability
Adjia Tech,__NA__,Computers - Software - Medium / Small,0.33,,0.07,,0.08,0.08,0.27,0.8,81.82,21.21,3.65,4.0,High Profitability
Adline Chem Lab,__NA__,Pharmaceuticals - Indian - Formulations,0.0,0.0,-0.15,-0.12,-0.15,-0.15,-0.15,-0.26,,,,7.68,Unknown
Ador Fontech,__NA__,Electrodes - Welding Equipment,210.13,211.88,23.74,22.07,31.55,31.55,34.82,6.78,13.11,11.3,24.37,501.38,Moderate Profitability
Ador Multi Prod.,__NA__,Personal Care - Indian,6.73,8.51,-4.02,-14.01,-2.65,-2.65,-2.12,-8.6,-55.42,-55.27,-37.64,16.15,Loss-making
Ador Welding,ADORWELD,Electrodes - Welding Equipment,883.83,872.61,63.19,67.07,89.57,89.57,102.99,46.47,10.17,7.15,23.98,1919.91,Moderate Profitability
Adroit Info.,ADROITINFO,Computers - Software - Medium / Small,24.86,21.68,3.0,-0.58,4.05,4.05,5.65,0.55,18.79,12.07,13.04,39.29,Moderate Profitability
Advait Infratech,__NA__,Construction,208.85,189.98,21.88,18.16,36.37,36.37,39.01,21.45,17.3,10.48,37.86,1735.31,Moderate Profitability
Advance Lifes.,__NA__,Textiles - Jute - Yarn / Products,0.0,1.51,0.21,0.33,3.26,3.26,3.26,0.34,,1.3,4.63,28.63,Low Profitability
Advance Meter.,__NA__,Electric Equipment,16.52,18.45,-2.01,-2.14,-1.08,-1.08,3.59,-1.25,-23.49,-12.17,-0.96,61.64,Loss-making
Advance Petroch.,__NA__,Chemicals,35.19,32.17,0.22,-0.4,1.19,1.19,1.89,2.44,5.2,0.63,10.17,25.92,Low Profitability
Advance Syntex,__NA__,Textiles - Spinning - Synthetic / Blended,0.75,2.51,-6.23,-0.62,-1.46,-1.46,-1.05,-5.61,-140.0,-200.0,-3.39,8.1,Loss-making
Advanced Enzyme,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,623.87,604.77,136.96,139.19,205.88,205.88,241.12,11.92,32.77,23.65,15.05,4253.24,High Profitability
Advani Hotels.,ADVANIHOTR,Hotels,105.42,103.3,24.96,25.3,33.61,33.61,36.92,2.7,32.16,23.68,48.61,656.12,High Profitability
Advik Capital,__NA__,Finance & Investments,839.59,748.65,6.36,5.95,16.54,16.54,17.06,0.15,1.02,0.76,10.11,110.47,Low Profitability
Aegis Logistics,AEGISLOG,Trading,7045.92,7363.22,672.21,594.24,965.36,965.36,1100.62,16.22,13.1,9.42,14.74,30768.68,Moderate Profitability
Aeonx Digital,__NA__,Trading,34.31,32.0,2.73,1.22,3.05,3.05,4.0,5.93,2.07,5.54,6.61,62.1,Moderate Profitability
Aeroflex,AEROFLEX,Steel - Medium / Small,317.84,310.16,41.75,44.22,59.91,59.91,66.17,3.23,19.61,13.14,26.48,2091.78,Moderate Profitability
Aerpace Indus,__NA__,Trading,0.0,,-1.66,,-1.46,-1.46,-1.01,-0.1,,,,414.26,Unknown
Aether Industri.,AETHER,Chemicals,598.17,664.42,82.49,121.48,131.79,131.79,171.46,6.22,22.11,15.52,7.52,12214.51,High Profitability
Affle India,AFFLE,Computers - Software - Medium / Small,1842.81,1692.41,297.26,272.15,345.66,345.66,417.19,21.2,19.53,16.13,16.25,19135.75,High Profitability
Affordable Robo.,__NA__,Engineering,150.07,,6.07,,11.57,11.57,12.85,5.4,8.49,4.04,12.65,628.65,Low Profitability
AFLOAT Enterpris,__NA__,Trading,1.89,,0.03,,0.08,0.08,0.09,0.07,-18.52,1.59,1.57,5.47,Low Profitability
Agarwal Float,AGARWALFT,Trading,78.91,,0.19,,1.45,1.45,1.56,0.26,1.15,0.24,5.99,47.19,Low Profitability
Agarwal Fortune,__NA__,Trading,7.38,8.21,0.1,0.0,0.1,0.1,0.1,0.28,-0.81,1.36,19.23,8.07,Low Profitability
Agarwal Indl.,AGARIND,Petrochemicals,2125.3,2008.39,109.22,99.51,147.84,147.84,177.94,73.02,8.13,5.14,20.63,1745.57,Moderate Profitability
AGI Greenpac,AGI,Packaging,2420.88,2476.33,251.33,295.54,426.95,426.95,588.28,38.85,23.3,10.38,17.91,4569.91,Moderate Profitability
AGI Infra,__NA__,Construction,292.33,278.87,52.09,56.07,72.96,72.96,84.6,42.64,25.84,17.82,25.0,1028.66,High Profitability
Agio Paper,__NA__,Paper,0.3,0.12,-1.08,-1.23,-0.15,-0.15,-0.07,-0.67,-30.0,-360.0,-0.43,6.94,Loss-making
Agni Green,AGNI,Electric Equipment,35.27,,0.38,,2.2,2.2,2.43,0.19,5.9,1.08,5.48,102.26,Low Profitability
Agri-Tech India,AGRITECH,Miscellaneous,0.16,0.15,9.74,8.13,9.75,9.75,9.76,16.4,-612.5,6087.5,9.69,117.71,High Profitability
Agro Phos India,AGROPHOS,Fertilizers,107.14,128.09,-5.26,-2.83,-3.77,-3.77,-2.04,-2.59,-2.49,-4.91,-4.87,96.13,Loss-making
Agro Tech Foods.,ATFL,Food - Processing - Indian,759.67,783.24,10.41,13.95,14.51,14.51,35.67,4.27,4.5,1.11,2.66,1770.45,Low Profitability
AGS Transact,AGSTRA,Computers - Hardware,1470.63,1546.18,-80.09,-91.0,22.35,22.35,235.58,-6.55,13.43,-5.45,1.34,980.35,Loss-making
Ahasolar Technol,__NA__,Trading,42.04,,0.04,,0.06,0.06,0.36,0.13,-0.29,0.1,1.51,102.03,Low Profitability
Ahimsa Industrie,AHIMSA,Plastics Products,14.55,,-0.93,,-0.7,-0.7,0.06,-1.7,-1.37,-6.25,-4.17,10.35,Loss-making
Ahlada Engineers,AHLADA,Steel - Medium / Small,259.52,199.32,13.65,10.24,24.78,24.78,36.78,10.56,14.03,5.26,14.64,149.89,Moderate Profitability
Ahluwalia Contr.,AHLUCONT,Construction,3855.3,3554.69,374.83,247.83,357.61,357.61,424.47,55.96,10.06,6.02,23.91,8333.25,Moderate Profitability
Ahm. Steelcraft,__NA__,Trading,0.77,1.33,-2.29,-0.94,-2.57,-2.57,-2.45,-5.6,-609.09,-297.4,-10.69,42.23,Loss-making
AI Champ.Inds.,__NA__,Textiles - Jute - Yarn / Products,44.27,51.65,-39.58,22.32,-38.74,-38.74,-36.78,-12.86,-100.86,-89.41,-36.38,176.22,Loss-making
AIA Engineering,AIAENG,Castings & Forgings,4853.76,4977.11,1136.99,1144.17,1516.4,1516.4,1616.67,120.39,27.48,23.42,22.75,39833.86,High Profitability
Aik Pipes & Poly,__NA__,Plastics Products,37.27,,3.41,,4.37,4.37,4.67,5.36,12.29,9.15,22.99,80.81,Moderate Profitability
Aimco Pesticides,__NA__,Pesticides / Agrochemicals - Indian,207.41,212.16,-10.05,-10.97,-10.68,-10.68,-6.41,-10.49,-3.61,-4.85,-18.79,95.83,Loss-making
Aimtron,AIMTRON,Electronics - Components,92.98,,13.6,,20.27,20.27,24.38,9.06,25.41,14.63,39.38,1169.71,Moderate Profitability
Aion-Tech Soluti,GOLDTECH,Computers - Software - Medium / Small,93.28,96.45,-2.18,-2.16,-0.63,-0.63,1.08,-0.63,-0.18,-2.34,-0.78,500.4,Loss-making
Airan,AIRAN,Computers - Software - Medium / Small,105.5,101.46,12.89,10.97,17.18,17.18,22.64,1.0,18.57,12.22,13.09,392.82,Moderate Profitability
Airo Lam,AIROLAM,Miscellaneous,205.19,206.9,8.29,8.91,17.25,17.25,21.11,5.53,9.58,4.04,12.95,215.97,Low Profitability
Ajanta Pharma,AJANTPHARM,Pharmaceuticals - Indian - Formulations,4208.71,4036.47,816.17,735.7,1110.02,1110.02,1245.42,64.82,27.85,19.2,31.6,28855.94,High Profitability
Ajanta Soya,__NA__,Miscellaneous,1022.16,1059.78,4.03,0.98,9.37,9.37,12.09,0.5,0.29,0.39,7.27,257.37,Low Profitability
Ajcon Global,__NA__,Finance & Investments,16.07,15.66,1.3,0.95,2.42,2.42,2.81,2.04,17.42,8.09,7.06,19.94,Moderate Profitability
Ajel,__NA__,Computers - Software - Converts,13.92,12.03,-0.75,-0.02,-1.53,-0.11,-0.04,-0.64,-10.92,-1.6,-0.55,17.48,Loss-making
Ajmera Realty,AJMERA,Construction,699.96,582.41,103.92,89.24,207.34,207.34,209.05,28.98,28.74,14.85,11.72,2419.74,Moderate Profitability
Ajooni Biotech,AJOONI,Food - Processing - Indian,80.11,101.79,2.16,1.78,3.56,3.56,4.43,0.12,2.8,2.7,7.76,93.34,Low Profitability
Ajwa Fun World,__NA__,Recreation / Amusement Parks,2.61,2.85,0.11,0.28,0.3,0.3,0.5,0.17,19.16,4.21,12.15,24.53,Low Profitability
Akanksha Power,AKANKSHA,Electric Equipment,56.53,,2.79,,5.98,5.98,6.56,1.44,9.96,4.94,,243.79,Low Profitability
Akar Auto Indust,__NA__,Auto Ancillaries,373.82,380.87,5.49,7.32,20.09,20.09,24.13,5.09,6.39,1.47,17.71,110.59,Low Profitability
Akash InfraProj.,AKASH,Construction,59.52,57.59,0.23,-2.89,4.73,4.73,5.73,0.14,5.43,0.39,2.97,56.44,Low Profitability
AKG Exim,AKG,Trading,183.59,195.64,1.54,2.18,3.22,3.22,3.43,0.51,1.43,0.84,4.95,70.85,Low Profitability
AKI India,AKI,Leather / Leather Products,64.84,61.29,1.36,1.02,3.66,3.66,5.51,0.16,3.87,2.1,6.0,218.26,Low Profitability
AKM Creations,__NA__,Trading,7.33,,0.26,,0.23,0.23,0.26,0.21,-2.05,3.55,1.57,158.36,Low Profitability
Akme Fintrade,AFIL,Finance & Investments,69.58,,15.8,,47.65,47.65,48.23,4.99,69.32,22.65,12.72,483.08,High Profitability
Aksh Optifibre,AKSHOPTFBR,Cables - Telephone,220.28,249.56,-71.31,-24.38,-3.65,-3.65,17.58,-4.38,7.2,-7.13,-1.82,132.59,Loss-making
Akshar Spintex,AKSHAR,Textiles - Cotton/Blended,174.96,164.21,3.46,5.94,6.34,6.34,10.68,0.12,4.41,1.98,10.46,79.2,Low Profitability
AksharChem (I),AKSHARCHEM,Dyes And Pigments,302.05,285.0,-18.68,-14.62,-11.83,-11.83,1.95,-23.25,0.5,-6.18,-3.85,260.92,Loss-making
Akzo Nobel,AKZOINDIA,Paints / Varnishes,3961.6,3939.6,426.7,413.3,585.6,585.6,667.9,93.7,15.96,10.77,42.21,12981.71,Moderate Profitability
Alacrity Sec.,__NA__,Finance & Investments,341.2,,11.45,,17.21,17.21,17.41,5.43,4.89,3.36,53.3,224.45,Low Profitability
Alan Scott Inds.,__NA__,Textiles - Products,11.5,8.84,-3.5,-3.03,-2.5,-2.5,-0.09,-8.65,-0.87,-33.83,-32.11,29.02,Loss-making
Alankit,ALANKIT,Computers - Software - Medium / Small,235.7,292.73,21.98,21.11,28.08,28.08,35.75,0.8,10.14,9.33,10.5,569.68,Moderate Profitability
Albert David,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,362.46,354.83,75.42,66.24,97.6,97.6,104.43,132.15,12.93,20.81,27.76,765.1,High Profitability
Alchemist Corp.,__NA__,Trading,0.0,0.0,0.07,-0.26,0.19,0.19,0.19,0.14,,,1.19,6.56,Unknown
Alembic,ALEMBICLTD,Construction,157.49,145.56,268.62,244.71,103.79,103.79,111.63,10.46,36.1,170.56,4.86,2910.62,High Profitability
Alembic Pharma,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,6228.63,6118.1,615.82,590.21,684.69,684.69,957.36,31.33,14.97,9.84,13.14,17984.55,Moderate Profitability
Alexander Stamps,__NA__,Trading,0.36,0.38,-0.1,-0.01,-0.1,-0.1,-0.07,-0.11,-19.44,-27.78,-0.59,13.93,Loss-making
Alfa Ica (I),__NA__,Miscellaneous,68.49,63.93,1.68,1.48,3.77,3.77,4.76,4.16,5.75,2.45,10.64,25.66,Low Profitability
Alfa Transformer,__NA__,Electric Equipment,50.97,46.86,7.63,7.71,3.08,3.08,4.15,8.34,7.04,14.97,11.5,83.76,Moderate Profitability
Alfavision Overs,__NA__,Miscellaneous,3.13,2.44,0.28,-0.91,0.97,0.97,1.01,0.09,30.67,8.95,0.56,36.41,Moderate Profitability
Alfred Herbert,__NA__,Finance & Investments,1.79,1.82,0.67,1.44,0.56,0.56,0.73,8.69,17.32,37.43,0.5,112.81,High Profitability
Algoquant Fin,__NA__,Finance & Investments,64.17,43.18,9.95,-1.56,14.67,14.67,15.87,12.38,23.72,15.27,22.11,973.16,High Profitability
Alicon Cast.,ALICON,Castings & Forgings,1559.37,1459.32,61.28,50.44,121.59,121.59,199.11,38.03,12.52,3.93,14.52,2026.4,Low Profitability
Alkali Metals,ALKALI,Chemicals,82.86,85.34,1.13,1.55,4.52,4.52,9.12,1.11,9.86,1.73,6.22,154.48,Low Profitability
Alkem Lab,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,12667.58,12634.36,1811.46,1574.66,2257.03,2257.03,2556.33,150.19,17.73,15.06,19.55,59486.57,High Profitability
Alkosign,__NA__,Printing & Stationery,35.69,,0.78,,2.34,2.34,4.79,1.08,12.64,2.19,7.19,87.78,Low Profitability
Alkyl Amines,ALKYLAMINE,Chemicals,1440.61,1496.47,148.87,159.08,208.01,208.01,266.93,29.12,17.48,10.39,16.46,11024.9,Moderate Profitability
All E Tech,ALLETEC,Computers - Software - Medium / Small,116.33,109.69,19.74,17.3,26.21,26.21,27.21,9.75,17.1,16.97,23.85,510.51,High Profitability
Allcargo Gati,ACLGATI,Trading,1697.99,1707.86,6.12,-8.16,-5.27,-5.27,63.67,1.12,3.07,-1.52,-0.5,1460.17,Loss-making
Allcargo Logist.,ALLCARGO,Miscellaneous,13187.83,13184.61,140.0,204.39,137.97,137.97,538.11,1.52,3.49,0.98,3.15,5971.37,Low Profitability
Allcargo Termi,ATL,Miscellaneous,732.98,734.96,44.7,48.08,79.79,79.79,134.02,1.81,16.01,6.1,12.27,1242.23,Moderate Profitability
Alliance Integ.,__NA__,Steel - Medium / Small,67.56,56.48,64.18,150.18,-15.69,-15.69,12.7,4.88,18.75,-130.55,,1066.37,Loss-making
Allied Digital,ADSL,Computers - Software - Medium / Small,687.06,676.54,45.85,-5.59,68.18,68.18,84.54,8.29,12.14,6.67,10.61,1076.57,Moderate Profitability
Allsec Tech.,ALLSEC,Computers - Software - Medium / Small,469.37,447.64,64.0,55.39,88.9,88.9,122.48,42.0,24.62,13.64,31.54,1831.3,Moderate Profitability
Almondz Global,ALMONDZ,Finance & Investments,116.29,97.51,34.08,32.11,23.82,23.82,27.28,12.71,13.17,16.45,9.85,384.96,High Profitability
Alok Industries,ALOKINDS,Textiles - Processing,5509.59,5606.1,-846.82,-928.44,-253.67,-253.67,70.95,-1.71,0.87,-15.37,-4.32,14438.9,Loss-making
Alpa Laboratorie,ALPA,Pharmaceuticals - Indian - Formulations,108.74,114.29,16.78,17.98,21.05,21.05,23.0,7.98,7.46,15.43,14.32,180.33,High Profitability
Alpex Solar,ALPEXSOLAR,Electric Equipment,412.6,,26.56,,34.97,34.97,37.86,10.86,8.96,5.49,39.33,2369.02,Moderate Profitability
Alphageo (India),ALPHAGEO,Miscellaneous,98.67,60.9,1.05,-4.05,11.96,11.96,25.58,0.6,11.23,4.8,4.25,245.81,Low Profitability
Alphalogic Indu,__NA__,Engineering,47.54,,2.35,,3.39,3.39,3.5,2.31,5.74,4.94,42.16,313.32,Low Profitability
Alphalogic Tech.,__NA__,Computers - Software - Medium / Small,53.92,44.79,5.29,5.41,7.67,7.67,7.79,0.88,11.26,9.79,17.09,1255.69,Moderate Profitability
Alpine Housing,__NA__,Construction,57.56,60.53,3.43,3.72,6.19,6.19,7.15,1.98,12.42,5.99,6.39,223.44,Moderate Profitability
Alps Industries,ALPSINDUS,Textiles - Products,1.91,3.43,-56.24,-60.35,2.67,2.67,2.67,-14.38,-57.07,-2944.5,2.93,15.83,Loss-making
Alstone Textiles,__NA__,Trading,4.85,4.85,4.17,7.17,4.17,4.17,4.17,0.03,10.93,85.98,1.04,104.54,High Profitability
Alufluoride,__NA__,Chemicals,164.71,155.84,18.14,16.83,27.67,27.67,36.29,23.2,20.78,11.01,26.23,391.79,Moderate Profitability
Aluwind,ALUWIND,Construction,83.43,,7.54,,11.03,11.03,11.97,4.13,14.14,9.04,45.77,167.72,Moderate Profitability
Amal,__NA__,Chemicals,86.09,82.23,1.7,-2.62,6.51,6.51,15.54,1.38,17.85,1.97,6.62,457.31,Low Profitability
Amalgamated Elec,__NA__,Miscellaneous,0.01,0.0,-0.08,-0.1,-0.08,-0.08,-0.08,-0.29,-1100.0,-800.0,,13.24,Loss-making
Amanaya Ventures,__NA__,Trading,30.81,,0.1,,0.13,0.13,0.16,0.27,0.42,0.32,2.62,9.25,Low Profitability
Amara Raja Ener.,ARE&M,Auto Ancillaries,11260.3,10895.44,905.86,800.56,1244.2,1244.2,1722.92,49.49,14.4,8.04,20.19,29906.35,Moderate Profitability
Amarjothi Spg.,__NA__,Textiles - Cotton/Blended,189.45,178.5,8.02,11.63,21.04,21.04,29.33,11.88,15.15,4.23,8.8,145.43,Low Profitability
Amarnath Sec.,__NA__,Finance & Investments,0.41,0.41,0.19,0.17,0.29,0.29,0.29,0.63,70.73,46.34,6.41,17.04,High Profitability
Amba Enterprises,__NA__,Electric Equipment,282.14,271.26,6.17,6.17,8.82,8.82,9.43,4.87,3.11,2.19,21.65,303.21,Low Profitability
Ambalal Sarabhai,__NA__,Trading,173.43,163.66,5.68,3.25,12.72,12.72,16.29,0.74,3.43,3.26,7.08,364.18,Low Profitability
Ambani Organics,AMBANIORG,Chemicals,136.68,,3.04,,2.27,2.27,5.1,4.31,3.73,-1.24,2.18,74.12,Loss-making
Ambar Protein,__NA__,Solvent Extraction,337.06,337.55,3.15,3.58,6.58,6.58,7.89,5.48,2.14,0.93,12.92,82.92,Low Profitability
Ambassador Intra,__NA__,Trading,0.0,0.2,0.03,-0.01,0.04,0.04,0.04,0.14,,1.89,1.08,7.26,Low Profitability
Amber Enterp.,AMBER,Electronics - Components,6729.27,6926.43,139.47,148.54,358.31,358.31,544.84,39.44,7.27,2.07,10.14,15209.7,Low Profitability
Ambica Agarbat.,AMBICAAGAR,Chemicals,97.85,109.65,-3.66,-2.1,7.46,7.46,9.15,-2.13,3.88,-3.74,4.45,44.36,Loss-making
